kind,display_name,q,p_num,q_den,layer_dependent,min_depth,max_depth,tol,dyadic_bits,n_digits,split_counts,sequence,runs_at_max_depth,elapsed
uniform_x,uniform,3,1,2,False,3,7,1e-10,20,4,"[0, 2, 4, 4]",1.0244,9,0.012370109558105469
geometric_x,geometric,3,1,2,False,3,7,1e-10,20,4,"[1, 1, 2, 0]",1.1120,2,0.0012631416320800781
harmonic_x,harmonic,3,1,2,False,3,7,1e-10,20,4,"[2, 1, 1, 0]",1.2110,2,0.0012788772583007812
mirror_harmonic_x,mirror-harmonic,3,1,2,False,3,7,1e-10,20,4,"[2, 2, 1, 5]",1.2215,11,0.0025589466094970703
ruler_x,ruler,3,1,2,False,3,7,1e-10,20,4,"[0, 2, 5, 4]",1.0254,7,0.0023572444915771484
sinusoidal_x,sinusoidal,3,1,2,False,3,7,1e-10,20,4,"[1, 3, 2, 1]",1.1321,3,0.0012438297271728516
chebyshev_x,chebyshev,3,1,2,False,3,7,1e-10,20,4,"[1, 0, 0, 0]",1.1000,2,0.0012700557708740234
thuemorse_x,thue-morse,3,1,2,False,3,7,1e-10,20,4,"[0, 2, 2, 3]",1.0223,7,0.0016057491302490234
bitrev_geometric_x,bitrev-geometric,3,1,2,False,3,7,1e-10,20,4,"[1, 2, 1, 3]",1.1213,7,0.0028460025787353516
stern_brocot_x,stern-brocot,3,1,2,False,3,7,1e-10,20,4,"[1, 3, 4, 8]",1.1348,25,0.0014958381652832031
reverse_geometric_x,reverse-geometric,3,1,2,False,3,7,1e-10,20,4,"[0, 1, 4, 2]",1.0142,9,0.0028030872344970703
random_x,random,3,1,2,False,3,7,1e-10,20,4,"[1, 0, 2, 1]",1.1021,2,0.001489877700805664
dyadic_x,dyadic,3,1,2,False,3,7,1e-10,20,4,"[1, 1, 2, 0]",1.1120,2,0.0018110275268554688
powerlaw_x,power-law,3,1,2,False,3,7,1e-10,20,4,"[2, 1, 0, 0]",1.2100,2,0.0023338794708251953
golden_x,golden,3,1,2,False,3,7,1e-10,20,4,"[1, 6, 3, 1]",1.1631,3,0.0018029212951660156
cantor_x,cantor,3,1,2,False,3,7,1e-10,20,4,"[2, 1, 1, 1]",1.2111,2,0.0013511180877685547
minkowski_x,minkowski,3,1,2,False,3,7,1e-10,20,4,"[1, 3, 4, 8]",1.1348,25,0.0013737678527832031
farey_rank_x,farey-rank,3,1,2,False,3,7,1e-10,20,4,"[1, 8, 3, 13]",1.18313,29,0.002599954605102539
radical_inverse_x,radical-inverse,3,1,2,False,3,7,1e-10,20,4,"[0, 2, 4, 4]",1.0244,9,0.0025811195373535156
sturmian_x,sturmian,3,1,2,False,3,7,1e-10,20,4,"[0, 1, 1, 2]",1.0112,5,0.0013887882232666016
beta_x,beta,3,1,2,False,3,7,1e-10,20,4,"[1, 2, 3, 7]",1.1237,17,0.0018417835235595703
arc_length_x,arc-length,3,1,2,False,3,7,1e-10,20,4,"[1, 2, 0, 0]",1.1200,2,0.003087759017944336
minimax_chord_x,minimax-chord,3,1,2,False,3,7,1e-10,20,4,"[1, 0, 1, 0]",1.1010,2,0.0018129348754882812
