source_run,partition_kind,alpha,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
l1c_grid_2026-03-12,uniform_x,1/2,3,4,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.016145614554376693,0.021450498618439257,0,"(0, 0, 0, 0)",1.0,1.0625,9.893725156784058
l1c_grid_2026-03-12,geometric_x,1/2,3,4,False,0.04801885319811061,0.033031134833803946,0.007553957776491171,0.014987718364306665,0.025477177057312776,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,9.817951202392578
l1c_grid_2026-03-12,uniform_x,1/2,3,4,True,0.04801885319811061,0.024510243054245925,0.010422740025294662,0.023508610143864687,0.014087503028951263,0,"(0, 0, 0, 0)",1.0,1.0625,9.8076810836792
l1c_grid_2026-03-12,geometric_x,1/2,3,4,True,0.04801885319811061,0.021838262465232617,0.007553957776491171,0.026180590732877995,0.014284304688741447,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.835076808929443
l1c_stability_2026-03-12,uniform_x,1/2,3,5,False,0.04801885319811061,0.03127055592813419,0.005419629112361607,0.01674829726997642,0.025850926815772585,2,"(0, 0, 0, 1, 0)",1.0625,1.09375,12.396927833557129
l1c_stability_2026-03-12,geometric_x,1/2,3,5,False,0.04801885319811061,0.03620078606822961,0.003842389163193495,0.011818067129881003,0.03235839690503611,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,12.530927896499634
l1c_stability_2026-03-12,uniform_x,1/2,3,5,True,0.04801885319811061,0.02451987340452581,0.005419629112361607,0.023498979793584802,0.019100244292164205,31,"(1, 1, 1, 1, 1)",1.96875,2.0,12.20241928100586
l1c_stability_2026-03-12,geometric_x,1/2,3,5,True,0.04801885319811061,0.021864397758092666,0.003842389163193495,0.026154455440017946,0.01802200859489917,18,"(1, 0, 0, 1, 0)",1.4768261459394993,1.5091644275934228,12.218152046203613
lodestone_2026-03-11,uniform_x,1/2,3,6,False,0.04801885319811061,0.03877637238662877,0.0027633102183522973,0.009242480811481844,0.03601306216827647,63,"(1, 1, 1, 1, 1, 1)",1.984375,2.0,24.767848253250122
lodestone_2026-03-11,geometric_x,1/2,3,6,False,0.04801885319811061,0.04169864852105633,0.0019372364815933578,0.006320204677054284,0.03976141203946297,3,"(0, 0, 0, 0, 1, 1)",1.0330248790212284,1.0442737824274138,25.16304063796997
lodestone_2026-03-11,uniform_x,1/2,3,6,True,0.04801885319811061,0.02451987340452581,0.0027633102183522973,0.023498979793584802,0.021756563186173514,63,"(1, 1, 1, 1, 1, 1)",1.984375,2.0,24.060057878494263
lodestone_2026-03-11,geometric_x,1/2,3,6,True,0.04801885319811061,0.02191493285384739,0.0019372364815933578,0.02610392034426322,0.019977696372254033,41,"(1, 0, 1, 0, 0, 1)",1.559004400237837,1.5759808451078865,23.941497087478638
l1c_stability_2026-03-12,uniform_x,1/2,3,7,False,0.04801885319811061,0.042737386383753295,0.0013952675075605118,0.005281466814357316,0.04134211887619278,1,"(0, 0, 0, 0, 0, 0, 1)",1.0078125,1.015625,50.56064510345459
l1c_stability_2026-03-12,geometric_x,1/2,3,7,False,0.04801885319811061,0.04489501978344528,0.0009728009170741604,0.0031238334146653293,0.04392221886637112,0,"(0, 0, 0, 0, 0, 0, 0)",1.0,1.0054299011128027,51.14303708076477
l1c_stability_2026-03-12,uniform_x,1/2,3,7,True,0.04801885319811061,0.02462952280937557,0.0013952675075605118,0.02338933038873504,0.023234255301815058,74,"(1, 0, 0, 1, 0, 1, 0)",1.578125,1.5859375,73.89530420303345
l1c_stability_2026-03-12,geometric_x,1/2,3,7,True,0.04801885319811061,0.021844448046094818,0.0009728009170741604,0.026174405152015794,0.02087164712902066,77,"(1, 0, 0, 1, 1, 0, 1)",1.5173590411982147,1.5255981507445384,77.4930489063263
l1c_grid_2026-03-12,uniform_x,1/2,3,8,False,0.04801885319811061,0.04489501978344528,0.0007011716473379505,0.0031238334146653293,0.044193848136107335,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.00390625,135.60309505462646
l1c_grid_2026-03-12,geometric_x,1/2,3,8,False,0.04801885319811061,0.046349166350692056,0.0004874400969089899,0.0016696868474185556,0.04586172625378307,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.0027112750502025,100.56368613243103
l1c_grid_2026-03-12,uniform_x,1/2,3,8,True,0.04801885319811061,0.024537782649870787,0.0007011716473379505,0.023481070548239825,0.023836611002532836,95,"(0, 1, 0, 1, 1, 1, 1, 1)",1.37109375,1.375,95.52406692504883
l1c_grid_2026-03-12,geometric_x,1/2,3,8,True,0.04801885319811061,0.021838262465232617,0.0004874400969089899,0.026180590732877995,0.021350822368323627,127,"(0, 1, 1, 1, 1, 1, 1, 1)",1.4103896082172707,1.4142135623730951,96.06365823745728
lodestone_2026-03-11,uniform_x,1/3,3,4,False,0.03572164364988057,0.02153365583376607,0.006987004704880389,0.014187987816114501,0.01454665112888568,15,"(1, 1, 1, 1)",1.9375,2.0,6.066488027572632
lodestone_2026-03-11,geometric_x,1/3,3,4,False,0.03572164364988057,0.021647041834857324,0.0050555063473468,0.014074601815023246,0.016591535487510523,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,6.044198036193848
l1c_stability_2026-03-12,uniform_x,1/3,3,4,True,0.03572164364988057,0.014568623549810185,0.006987004704880389,0.021153020100070384,0.0075816188449297954,15,"(1, 1, 1, 1)",1.9375,2.0,9.711011171340942
l1c_stability_2026-03-12,geometric_x,1/3,3,4,True,0.03572164364988057,0.012380688075674513,0.0050555063473468,0.023340955574206058,0.007325181728327712,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,9.600281715393066
l1c_stability_2026-03-12,uniform_x,1/3,5,6,False,0.03572164364988057,0.026664241725289004,0.0018448330463037167,0.009057401924591566,0.024819408678985286,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,38.77589392662048
l1c_stability_2026-03-12,geometric_x,1/3,5,6,False,0.03572164364988057,0.02807860382661579,0.0012927710957101074,0.00764303982326478,0.026785832730905682,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,38.63232493400574
l1c_stability_2026-03-12,uniform_x,1/3,5,6,True,0.03572164364988057,0.00744054441293676,0.0018448330463037167,0.02828109923694381,0.005595711366633043,7,"(0, 0, 0, 1, 1, 1)",1.109375,1.125,35.85274291038513
l1c_stability_2026-03-12,geometric_x,1/3,5,6,True,0.03572164364988057,0.005819006611941098,0.0012927710957101074,0.029902637037939474,0.004526235516230991,27,"(0, 1, 1, 0, 1, 1)",1.339667524053303,1.3542555469368927,35.750333070755005
