partition_kind,alpha,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
uniform_x,1/2,5,3,False,0.04801885319811061,0.019390541347960057,0.019266709931147465,0.028628311850150554,0.00012383141681259272,0,"(0, 0, 0)",1.0,1.125,4.9503090381622314
geometric_x,1/2,5,3,False,0.04801885319811061,0.014811752836464818,0.014571397870416124,0.03320710036164579,0.00024035496604869408,0,"(0, 0, 0)",1.0,1.0905077326652577,4.66363000869751
uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,10.52250599861145
geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,10.530054092407227
uniform_x,1/2,5,5,False,0.04801885319811061,0.024053055169944257,0.005419629112361607,0.023965798028166355,0.01863342605758265,19,"(1, 0, 0, 1, 1)",1.59375,1.625,19.37665104866028
geometric_x,1/2,5,5,False,0.04801885319811061,0.029849564725641077,0.003842389163193495,0.018169288472469534,0.026007175562447582,31,"(1, 1, 1, 1, 1)",1.9571441241754002,2.0,19.422975063323975
uniform_x,1/2,5,6,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.013269511709077426,0.031986031270680886,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,39.501952171325684
geometric_x,1/2,5,6,False,0.04801885319811061,0.03798870112680691,0.0019372364815933578,0.0100301520713037,0.036051464645213555,2,"(0, 0, 0, 0, 1, 0)",1.0218971486541166,1.0330248790212284,41.504700899124146
uniform_x,1/2,1,4,False,0.04801885319811061,0.041080793032408074,0.010422740025294662,0.006938060165702538,0.03065805300711341,15,"(1, 1, 1, 1)",1.9375,2.0,10.314270973205566
geometric_x,1/2,1,4,False,0.04801885319811061,0.03903223742957822,0.007553957776491171,0.008986615768532394,0.03147827965308705,15,"(1, 1, 1, 1)",1.9152065613971474,2.0,10.445904731750488
uniform_x,1/2,2,4,False,0.04801885319811061,0.027825719899582053,0.010422740025294662,0.020193133298528558,0.01740297987428739,7,"(0, 1, 1, 1)",1.4375,1.5,12.860195875167847
geometric_x,1/2,2,4,False,0.04801885319811061,0.031006330819390738,0.007553957776491171,0.017012522378719874,0.023452373042899568,8,"(1, 0, 0, 0)",1.4142135623730951,1.4768261459394993,10.094596147537231
uniform_x,1/2,3,4,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.016145614554376693,0.021450498618439257,0,"(0, 0, 0, 0)",1.0,1.0625,9.907187938690186
geometric_x,1/2,3,4,False,0.04801885319811061,0.033031134833803946,0.007553957776491171,0.014987718364306665,0.025477177057312776,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,9.858408212661743
uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,9.705368041992188
geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.8732590675354
uniform_x,1/2,7,4,False,0.04801885319811061,0.017546370010446868,0.010422740025294662,0.030472483187663744,0.007123629985152206,1,"(0, 0, 0, 1)",1.0625,1.125,9.453658819198608
geometric_x,1/2,7,4,False,0.04801885319811061,0.013679363761133788,0.007553957776491171,0.034339489436976824,0.006125405984642617,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,9.251001119613647
uniform_x,1/2,3,5,False,0.04801885319811061,0.03127055592813419,0.005419629112361607,0.01674829726997642,0.025850926815772585,2,"(0, 0, 0, 1, 0)",1.0625,1.09375,19.416406869888306
geometric_x,1/2,3,5,False,0.04801885319811061,0.03620078606822961,0.003842389163193495,0.011818067129881003,0.03235839690503611,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,21.596239805221558
uniform_x,1/2,3,5,True,0.04801885319811061,0.02451987340452581,0.005419629112361607,0.023498979793584802,0.019100244292164205,31,"(1, 1, 1, 1, 1)",1.96875,2.0,19.505391836166382
geometric_x,1/2,3,5,True,0.04801885319811061,0.021864397758092666,0.003842389163193495,0.026154455440017946,0.01802200859489917,18,"(1, 0, 0, 1, 0)",1.4768261459394993,1.5091644275934228,19.71352505683899
uniform_x,1/3,3,4,False,0.03572164364988057,0.02153365583376607,0.006987004704880389,0.014187987816114501,0.01454665112888568,15,"(1, 1, 1, 1)",1.9375,2.0,9.880580186843872
geometric_x,1/3,3,4,False,0.03572164364988057,0.021647041834857324,0.0050555063473468,0.014074601815023246,0.016591535487510523,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,9.848191976547241
