depth,q,kind,layer_mode,rank_tol,p,rng_seed,xi_tie_policy,xi_tie_seed,n_draws,n_fallbacks_fsm,n_fallbacks_ensemble,wall_fsm,wall_quantile,wall_zscore,xi_fsm,xi_quantile,xi_zscore,W0_raw,W1_raw,W2_raw,W3_raw,W4_raw,W5_raw,W6_raw,W7_raw,W8_raw,P0_norm,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,P7_norm,P8_norm,W0_quantile,W1_quantile,W2_quantile,W3_quantile,W4_quantile,W5_quantile,W6_quantile,W7_quantile,W8_quantile,P0_quantile,P1_quantile,P2_quantile,P3_quantile,P4_quantile,P5_quantile,P6_quantile,P7_quantile,P8_quantile,wall_ratio,wall_gap_to_min
7,3,farey_rank_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.04366064071655301,0.0,-904.6074401444317,0.1370819425495462,1.0,30.448090816601926,1.8662935732386514e-06,0.00017647590911940171,0.000267065193955807,1.6452799266986655e-05,4.046809404179103e-05,1.5368077640243934e-05,9.824300097216574e-06,8.755228741997188e-06,,0.003480099675632171,0.32907671273687,0.49799962245243096,0.030679729177291504,0.07546133307628348,0.028657035944292933,0.018319488461992644,0.016325978475206192,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.36761975547887854,-0.07452306079289789
7,3,bitrev_geometric_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.05073213577270541,0.0,-691.9161537524003,0.06079472624061533,1.0,41.000095450172246,1.040282739972376e-05,0.00017709913890029522,0.00032485380413160966,3.968662334830166e-05,8.512811065020267e-05,1.5835559238342118e-05,1.3529003300538235e-05,4.72176311938619e-06,,0.015497536760041288,0.26383215926007425,0.4839486014448878,0.059122859640884734,0.1268189861680691,0.023590909661592108,0.02015473466207646,0.0070342124023741685,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4272500628754769,-0.06738886473252255
7,3,stern_brocot_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.03398418426513665,0.0,-3527.4601552652457,0.30438563121569484,1.0,16.711128216033856,0.00014618245303043914,2.9767747978248632e-05,8.314955511490273e-05,2.6987243015419228e-05,5.6380114105580174e-05,1.2753187435099334e-05,9.608886099132584e-06,1.4117571931482162e-06,,0.3991428469057984,0.08127913732257877,0.22703511577139915,0.07368712717572252,0.15394268454565577,0.03482185060137729,0.02623651521569907,0.0038547224617689487,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.28591164243760964,-0.0847464700338991
7,3,scramble_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.05003070831298852,0.0,-779.0672705515182,-0.01942949977547248,1.0,37.24113958074734,3.631563667788635e-05,0.0001503578370727348,0.0002908696281196946,5.0750781193098816e-05,9.872995779830558e-05,1.6642710680026134e-05,1.593084341461347e-05,2.6252517395520516e-06,,0.05483901352374354,0.22705027957429263,0.4392323783714694,0.07663703657118091,0.14908876688362743,0.025131593978344195,0.024056627320280705,0.003964303777061176,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4212495825088486,-0.06824031832826431
7,3,random_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.0535869598388673,0.0,-942.0215242609776,0.17314837325706112,0.81,0.7652533978458459,8.643813777242068e-06,0.00025696469528829725,0.00036867156575964843,2.7355566429132234e-05,5.040736699574127e-05,2.1863052031723498e-05,1.2618896740368615e-05,1.2165393735108802e-05,,0.0113930719807027,0.33869508822909933,0.4859315337168462,0.03605629938726407,0.06643997375929296,0.02881683154385923,0.016632472955235917,0.01603472842769953,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.45124969850984237,-0.06475179302196048
7,3,cantor_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.053030490875244196,0.0,-243.5887531477329,0.15385451155981766,0.0,-11.569308366156157,0.00010544129047053401,0.00044934553551355427,0.00042849070177360083,3.5275435993770554e-06,1.1014486879165717e-05,3.5086584831562363e-06,2.8667635215556955e-06,9.96676409750789e-07,,0.10489670280577647,0.44702473656693154,0.4262776147598904,0.0035093243920575846,0.010957598788539552,0.003490536814488801,0.002851957139305922,0.0009915287330097044,,0.0,0.0,0.0,0.8866666666666667,0.9966666666666667,0.9866666666666667,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.4537585502697181,-0.06241569611413943
8,3,farey_rank_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.04802370071411137,0.0,-2818.8870073500443,-0.04169974183490299,0.0,-44.23281940921838,0.0003855674319999159,0.0002483132113942379,0.00038345566275504875,2.2974555407561803e-06,3.063159961180711e-06,3.708473074126563e-06,4.639655306670562e-06,2.191983316135465e-06,1.0061677136463252e-06,0.37280151477341655,0.24009170293730536,0.3707596650008493,0.0022213881013650287,0.002961740486218499,0.0035856876509505423,0.004486038972175647,0.0021194080017980783,0.000972854075920855,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40403206288379,-0.0707051934875688
8,3,bitrev_geometric_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.053601741790771464,0.0,-2739.0453024576386,-0.1822722388209148,0.0,-54.037401896010444,0.0006279400212181197,0.0003322016921486438,0.0004128647981038174,2.604263743655253e-06,2.2664460485600334e-06,4.772703618871858e-06,2.4379761303651273e-06,3.368900472922216e-06,3.9834544113272466e-07,0.4521277993662051,0.23919102930488897,0.29726987657251286,0.0018751154498863273,0.0016318808002233286,0.0034364300909530713,0.0017553854595715238,0.00242566727018185,0.00028681568557698103,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45096476570707883,-0.06510683735016876
8,3,stern_brocot_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.03794181346893312,0.0,-15061.850894161815,-0.0652730012364775,0.0,-87.4386154669563,7.234858283724568e-07,2.129921838390007e-05,6.652032197325319e-05,2.3825466353639438e-05,9.626284196524203e-06,7.147163368500985e-05,5.578710671073125e-06,8.772650659591315e-05,1.0486598056920539e-09,0.0025228548186222144,0.07427213308875759,0.2319618550152543,0.08308136834057857,0.03356764779382169,0.2492274877624865,0.01945342471998006,0.30590957169717337,3.656763325740842e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3191262450541876,-0.0809171007199092
8,3,scramble_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.054021358489990234,0.0,-3210.154268562559,-0.22662632916190617,0.0,-56.73624858601108,0.0002538975136028858,0.00022872060340328062,0.0003290787797390341,1.121085679681464e-05,5.126922259124321e-06,1.7975019925453424e-05,4.952245551137475e-06,5.6691440398215e-06,7.199841811633779e-08,0.29636582197855693,0.26697768193612725,0.38412232427608467,0.013086046974325702,0.005984479753204914,0.020981621598784316,0.005780585648814435,0.006617396560662653,8.404127343908636e-05,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4544721837150127,-0.06474161202292984
