depth,q,kind,layer_mode,rank_tol,p,rng_seed,xi_tie_policy,xi_tie_seed,n_draws,n_fallbacks_fsm,n_fallbacks_ensemble,wall_fsm,wall_quantile,wall_zscore,xi_fsm,xi_quantile,xi_zscore,W0_raw,W1_raw,W2_raw,W3_raw,W4_raw,W5_raw,W6_raw,W7_raw,W8_raw,P0_norm,P1_norm,P2_norm,P3_norm,P4_norm,P5_norm,P6_norm,P7_norm,P8_norm,W0_quantile,W1_quantile,W2_quantile,W3_quantile,W4_quantile,W5_quantile,W6_quantile,W7_quantile,W8_quantile,P0_quantile,P1_quantile,P2_quantile,P3_quantile,P4_quantile,P5_quantile,P6_quantile,P7_quantile,P8_quantile
5,2,geometric_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.043429851531982436,0.0,-65.39858369960214,0.1407624633431085,0.9966666666666667,4.35851862944056,3.495040425960603e-07,0.00018652243759920083,0.0003847446512086346,1.5123260688198215e-07,1.6856649409671315e-10,1.0746958878783813e-13,,,,0.0006112689870426966,0.3262204941754321,0.6729034418815295,0.0002644999517885909,2.9481624684646213e-07,1.879601339895273e-10,,,,0.0,0.0,0.19666666666666666,0.01,0.0,0.0,,,,0.0,1.0,1.0,0.47,0.0,0.0033333333333333335,,,
5,2,geometric_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.015490770339965945,0.0,-19.080324429230565,0.19079788205221837,0.9766666666666667,1.8959143272396035,2.38273580865908e-06,9.064015483950368e-06,0.00011613460176285168,1.5123260688198557e-07,1.6856649409664217e-10,1.0746958878826465e-13,,,,0.01865407053217994,0.07096077690523901,0.9091998553251391,0.0011839767150390115,1.3196810400942617e-06,8.413628074229779e-10,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.51,1.0,0.03333333333333333,0.0,0.0,,,
5,2,uniform_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04146242141723633,0.0,-74.70632034992323,-0.08924986311370686,0.8333333333333334,0.6180928634763396,7.908037966686381e-07,0.00015762462554835715,0.0003620450618928567,5.549730277110194e-06,3.0814956808457486e-08,5.595612861957301e-11,,,,0.0015033118287750159,0.29964317962470305,0.6882448293570501,0.010549993825568931,5.8578991740420534e-05,1.0637216260294206e-07,,,,0.0,0.0,0.013333333333333334,0.24,0.0033333333333333335,0.016666666666666666,,,,0.0,1.0,1.0,0.9933333333333333,0.3433333333333333,0.07333333333333333,,,
5,2,uniform_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.019636631011962946,0.0,-21.17580352562148,0.11817853270690282,0.9233333333333333,1.5620040739260432,3.648888366658579e-05,4.788629452878773e-05,0.00013493350066262616,5.549730277110166e-06,3.0814956808458644e-08,5.595612861959085e-11,,,,0.16225265899197172,0.21293275748206833,0.5999997004472513,0.024677611471407096,0.00013702279095684382,2.4881634468141826e-07,,,,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,0.0,,,,0.0,0.9933333333333333,1.0,0.7633333333333333,0.006666666666666667,0.016666666666666666,,,
5,2,harmonic_x,LI,1.00000000000000e-10,4,2026,jitter_1e-12,7777,300,1,300,0.04207420349121099,0.0,-53.542704351957326,0.31666362474904175,0.9966666666666667,3.7132905553610853,1.5574595318114332e-06,0.0004117968774240122,0.00032744908223492205,7.295982079824565e-06,6.144993491830377e-08,1.6575540939805475e-10,,,,0.0020817170321677327,0.5504121012569871,0.43767193800747833,0.009751887514082928,8.213463883472481e-05,2.2155044922197256e-07,,,,0.0,0.0,0.86,0.22666666666666666,0.0033333333333333335,0.02666666666666667,,,,0.0,1.0,1.0,0.9633333333333334,0.25,0.07333333333333333,,,
5,2,harmonic_x,LD,1.00000000000000e-10,10,2026,jitter_1e-12,7777,300,1,300,0.016695499420166182,0.0,-16.303528378719072,0.29581529581529586,0.97,1.8347193895950369,1.8995225449458242e-05,4.643268967896642e-05,9.070926584797733e-05,7.29598207982459e-06,6.144993491830329e-08,1.6575540939805475e-10,,,,0.11618245912858287,0.28400105517097446,0.554814450610638,0.04462516867975734,0.00037585258311864206,1.0138269287180408e-06,,,,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,,,,0.0,0.9966666666666667,1.0,0.6366666666666667,0.01,0.016666666666666666,,,
5,3,geometric_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.040507316589355954,0.0,-38.474251064891114,-0.13726201269265648,0.36666666666666664,-0.4731449089942394,9.238871044559048e-05,0.00022769697331881454,0.0003172933808315304,3.876171242467267e-05,9.632852606244471e-06,8.946561266043537e-06,,,,0.13298693726872537,0.327753498895958,0.45672111591247394,0.055794711212947184,0.01386580199125025,0.01287793471864533,,,,0.0,0.0,0.09,0.7733333333333333,0.6366666666666667,0.9233333333333333,,,,0.0,1.0,1.0,0.9933333333333333,0.9633333333333334,0.9933333333333333,,,
5,3,geometric_x,LD,1.00000000000000e-10,13,2026,jitter_1e-12,7777,300,1,300,0.022418975830078403,0.0,-9.970082609782898,0.15835777126099704,0.9033333333333333,1.344222300645921,5.2496062915799496e-05,6.712703970098421e-05,0.00015445681127709384,3.203869022639587e-05,2.152411854272409e-06,2.1701641678669797e-10,,,,0.1702917992264899,0.2177531748573897,0.5010419226552416,0.10393019781815038,0.006982201463915091,7.039788133363067e-07,,,,0.0,0.0,0.013333333333333334,0.03666666666666667,0.0,0.006666666666666667,,,,0.023333333333333334,0.9666666666666667,1.0,0.7033333333333334,0.19666666666666666,0.023333333333333334,,,
5,3,uniform_x,LI,1.00000000000000e-10,6,2026,jitter_1e-12,7777,300,1,300,0.03281641006469735,0.0,-47.6685994048588,-0.13305347691184521,0.3433333333333333,-0.4253034352759363,5.890824832022198e-05,4.329835218186442e-05,0.00033244882413896535,6.757380862154587e-05,2.9794941355020907e-05,5.981437652735633e-06,,,,0.10949374314448582,0.08047936897748659,0.6179281712992725,0.12560056453015073,0.05538035417379364,0.011117797874810811,,,,0.0,0.0,0.05,0.9133333333333333,0.9166666666666666,0.92,,,,0.0,0.9966666666666667,1.0,1.0,0.9966666666666667,1.0,,,
5,3,uniform_x,LD,1.00000000000000e-10,13,2026,jitter_1e-12,7777,300,1,300,0.024767398834228696,0.0,-10.365778587985888,0.13300492610837433,0.8966666666666666,1.2750851639342324,4.1916200992060306e-05,0.00010800753363248444,0.00017547466452605463,4.693666330892542e-05,1.8283622787468092e-06,3.851054242144678e-09,,,,0.11202529912130535,0.28866108989279343,0.4689738410564805,0.1254429939376984,0.004886483658610187,1.029233311220994e-05,,,,0.0,0.03,0.01,0.06,0.0,0.013333333333333334,,,,0.0033333333333333335,0.9966666666666667,1.0,0.81,0.23,0.05,,,
