kind,depth,cell_index,half,m_mid,width_x,width_log,c_star,g,eps_mid,eps_prime_mid,eps_pp_mid,mean_cell_eps,cell_moment1,cell_moment2,eps_a,eps_b,contains_mstar,dist_to_mstar
uniform_x,4,0,L,0.03125,0.0625,0.06062462181643484,-0.01439666748046875,0.05034685134887695,0.013144119358453436,0.39897700934687386,-1.3565837666393927,0.0129232603668079,0.000129831893487834,4.14551106609119e-6,0.000000000000000,0.0249628412503394,0,-0.4114450408889634
uniform_x,4,1,L,0.09375,0.0625,0.057158413839948616,-0.040305137634277344,0.02443838119506836,0.03553301694496647,0.3190354659556238,-1.2059752831594275,0.0353366838168867,0.000103821170226478,0.0000114407716914126,0.0249628412503394,0.0449250014423124,0,-0.3489450408889634
uniform_x,4,2,L,0.15625,0.0625,0.05406722127027577,-0.061507225036621094,0.0032362937927246094,0.053203365628949784,0.24773625157964418,-1.0791232446094219,0.0530276885775400,0.0000806237206084217,0.0000171992859091012,0.0449250014423124,0.0604275134435855,0,-0.2864450408889634
uniform_x,4,3,L,0.21875,0.0625,0.051293294387550536,-0.07861614227294922,-0.013872623443603516,0.06665221886224837,0.18374977713966234,-0.9712818684222869,0.0664941014301590,0.0000598064861258142,0.0000215831487111351,0.0604275134435855,0.0719280948873623,0,-0.2239450408889634
uniform_x,4,4,L,0.28125,0.0625,0.04879016416943199,-0.09213829040527344,-0.027394771575927734,0.07630200461808367,0.12600588557187398,-0.8788338619097553,0.0761589397177538,0.0000410209634315681,0.0000247300791948502,0.0719280948873623,0.0798174227787603,0,-0.1614450408889634
uniform_x,4,5,L,0.34375,0.0625,0.04652001563489283,-0.10249614715576172,-0.037752628326416016,0.08251475470209796,0.07363351880108904,-0.79898308375895,0.0823846907776122,0.0000239835258134700,0.0000267580772601491,0.0798174227787603,0.0844316186372973,0,-0.09894504088896339
uniform_x,4,6,L,0.40625,0.0625,0.044451762570833886,-0.11004638671875,-0.0453028678894043,0.08560309632967472,0.02591647352104065,-0.7295406033927401,0.0854843384017947,8.46099649866777e-6,0.0000277690184824235,0.0844316186372973,0.0860619560570128,0,-0.03644504088896339
uniform_x,4,7,L,0.46875,0.0625,0.04255961441879591,-0.11509037017822266,-0.05034685134887695,0.08583885167763738,-0.01773954662879096,-0.6687730746357169,0.0857299871074879,-5.74009193317934e-6,0.0000278514651528590,0.0860619560570128,0.0849625007211562,1,0.026054959111036613
uniform_x,4,8,R,0.53125,0.0625,0.040821994520255145,-0.11788749694824219,-0.013492584228515625,0.08345984411520824,-0.05783181003169735,-0.6152935118160344,0.0833596861714057,-0.0000187816060291274,0.0000270828900853843,0.0849625007211562,0.0813561897747247,0,0.08855495911103661
uniform_x,4,9,R,0.59375,0.0625,0.039220713153281295,-0.11873340606689453,-0.014338493347167969,0.07867534197149562,-0.09477958218731697,-0.5679814386275658,0.0785828864113149,-0.0000308000108937604,0.0000255314545483879,0.0813561897747247,0.0754397181410922,0,0.1510549591110366
uniform_x,4,10,R,0.65625,0.0625,0.037740327982847044,-0.1176004409790039,-0.013205528259277344,0.0716704545631992,-0.12893884323685223,-0.5259237172909571,0.0715848458562931,-0.0000419111651821531,0.0000232574434986934,0.0754397181410922,0.0673875021634686,0,0.2135549591110366
uniform_x,4,11,R,0.71875,0.0625,0.03636764417087479,-0.11487865447998047,-0.010483741760253906,0.0626097135246596,-0.16061379439187573,-0.48837015599018135,0.0625302183102967,-0.0000522140693664767,0.0000203144344661360,0.0673875021634686,0.0573549220576041,0,0.2760549591110366
uniform_x,4,12,R,0.78125,0.0625,0.035091319811270116,-0.1106405258178711,-0.006245613098144531,0.05164001416474162,-0.19006594195707316,-0.454699822059187,0.0515660001977132,-0.0000617938245122111,0.0000167502572976269,0.0573549220576041,0.0454809951275721,0,0.3385549591110366
uniform_x,4,13,R,0.84375,0.0625,0.03390155167568132,-0.10501670837402344,-0.000621795654296875,0.038893049361841237,-0.21752133375513838,-0.42439520881077236,0.0388239686669998,-0.0000707239889989234,0.0000126077881254257,0.0454809951275721,0.0318905956085185,0,0.4010549591110366
uniform_x,4,14,R,0.90625,0.0625,0.03278982282299092,-0.09812164306640625,0.0062732696533203125,0.024487337562886236,-0.24317637199267494,-0.3970222310858099,0.0244227128486187,-0.0000790684714297436,7.92561078198262e-6,0.0318905956085185,0.0166963103868752,0,0.4635549591110366
uniform_x,4,15,R,0.96875,0.0625,0.03174869831458027,-0.0900564193725586,0.014338493347167969,0.008529923499916436,-0.2672025189135423,-0.3722145935677245,0.00846933711790143,-0.0000868830628456755,2.73857136535837e-6,0.0166963103868752,0.000000000000000,0,0.5260549591110366
uniform_x,5,0,L,0.015625,0.03125,0.030771658666753687,-0.007498741149902344,0.05434226989746094,0.00674281302845451,0.42049973256759476,-1.3986458905280934,0.00668589794000241,0.0000341923924906122,5.39885498001079e-7,0.000000000000000,0.0131441193584534,0,-0.4270700408889634
uniform_x,5,1,L,0.046875,0.03125,0.029852963149681153,-0.021726608276367188,0.040114402770996094,0.019214190457772437,0.37809675547602484,-1.316390930603964,0.0191606227936134,0.0000307445251698559,1.55430641819073e-6,0.0131441193584534,0.0249628412503394,0,-0.3958200408889634
uniform_x,5,2,L,0.078125,0.03125,0.028987536873252298,-0.03464698791503906,0.02719402313232422,0.03039945677816905,0.33815192198396593,-1.241184391405418,0.0303489496733178,0.0000274965601175886,2.46412367304051e-6,0.0249628412503394,0.0355330169449665,0,-0.3645700408889634
