case_id,kind,scramble_mode,depth,n_cells,corr_inf,corr_l2,nrmse_inf,nrmse_l2,residual_norm_inf,residual_norm_2,rho_peak,mean_width_eps,worst_abs,time
uniform_x,uniform_x,,5,32,0.8734463527164639,0.8703188762290212,0.4497407298058501,0.4924886330459346,0.05434226989746094,0.1545905716811887,nan,0.03125,0.005419629112361626,0.17682290077209473
uniform_x,uniform_x,,6,64,0.8742339684338252,0.8705771207243714,0.441801708156184,0.49203198765046074,0.056400299072265625,0.22323655179071528,nan,0.015625,0.0027633102183522995,0.36033010482788086
uniform_x,uniform_x,,7,128,0.8745888056752745,0.8706386447616912,0.4376627651257407,0.49192311416269685,0.05744600296020508,0.3191634526977838,nan,0.0078125,0.0013952675075604316,0.7180547714233398
uniform_x,uniform_x,,8,256,0.8747566416628306,0.87065519713321,0.43556737285279745,0.4918938175103764,0.057973384857177734,0.4538774911712452,nan,0.00390625,0.0007011716473379614,1.469897985458374
geometric_x,geometric_x,,5,32,0.8513482070856963,0.8575975226246237,0.5019921881547015,0.514321387060764,0.05210399627685547,0.14167036902140503,-0.17106071412104243,0.031249999999999997,0.0038423891631934604,0.19734621047973633
geometric_x,geometric_x,,6,64,0.8501510259417828,0.8576095803065925,0.49888993425814465,0.5143012811245474,0.053830623626708984,0.20287648358882598,-0.17090730777264268,0.015625000000000003,0.0019372364815933851,0.39704132080078125
geometric_x,geometric_x,,7,128,0.849482872854893,0.8576158091937423,0.49716998984588323,0.5142908941649292,0.054691314697265625,0.28874191678499506,-0.17086907379570845,0.007812499999999999,0.0009728009170741903,0.7978949546813965
geometric_x,geometric_x,,8,256,0.8491280851975088,0.857616991871796,0.4962700692037508,0.5142889219619385,0.05512094497680664,0.40965637592879944,-0.1708679738330631,0.00390625,0.000487440096909042,1.6440129280090332
harmonic_x,harmonic_x,,5,32,0.8070065826457433,0.8261190783530921,0.5904506938234064,0.5634955797351366,0.04761695861816406,0.12602811729640617,-0.0859218740108177,0.03175609889837621,0.004239617174228938,0.19226598739624023
harmonic_x,harmonic_x,,6,64,0.8049447608873909,0.8258083470920056,0.5887742991135752,0.5639508612221185,0.049137115478515625,0.18004773554595244,-0.08636359976961758,0.015876151658516264,0.002225137210319361,0.38932085037231445
harmonic_x,harmonic_x,,7,128,0.8040378260096986,0.8257310972503972,0.5873023446697272,0.564063963601342,0.049890995025634766,0.2559801240354913,-0.08644340750516669,0.00793783810272404,0.0011399378286218176,0.7647721767425537
harmonic_x,harmonic_x,,8,256,0.8036013019799353,0.8257106561633292,0.5864388018581126,0.5640938860671385,0.05026674270629883,0.36299573031265603,-0.08648181703171903,0.00396888931982012,0.0005768207919280566,1.5505778789520264
mirror_harmonic_x,mirror_harmonic_x,,5,32,0.8775072155401877,0.8443263647861453,0.434742668959979,0.5358292542657712,0.05242490768432617,0.17180834193751787,0.5099522710289733,0.03382535263701793,0.010130868899735024,0.1916191577911377
mirror_harmonic_x,mirror_harmonic_x,,6,64,0.8856935947479914,0.8457297073983201,0.41263650363211846,0.5336115272592528,0.05574989318847656,0.25595682659851593,0.5088629955958864,0.016908112141491353,0.005339397922687342,0.38936901092529297
mirror_harmonic_x,mirror_harmonic_x,,7,128,0.8897856949914361,0.8460775243537864,0.4013838800737409,0.5330598679166982,0.05754852294921875,0.3722133179886515,0.5085913856800649,0.008453482652996766,0.0027425439601260707,0.7699131965637207
mirror_harmonic_x,mirror_harmonic_x,,8,256,0.8918335728422434,0.8461638533231982,0.39571661144779025,0.532922821175111,0.058485984802246094,0.5340187746883487,0.5085481938149617,0.00422666955839374,0.0013900246743923901,1.5536139011383057
ruler_x,ruler_x,,5,32,0.8644080901479041,0.8600828383224519,0.46085500959698067,0.5101543993960997,0.0529789924621582,0.1526767139086716,0.03220316610111814,0.031439238912906335,0.007968250948879319,0.2233731746673584
ruler_x,ruler_x,,6,64,0.8694411913398444,0.8650539187099143,0.4468429715456857,0.5016788990226932,0.055658817291259766,0.22158995173940282,0.014409392542719031,0.015654565921578004,0.00410431524244622,0.4120979309082031
ruler_x,ruler_x,,7,128,0.8721063583481891,0.8677542999278272,0.44000394585180924,0.49699343552683506,0.05705976486206055,0.3178285380605074,0.006709401758237123,0.007816941331832626,0.00208255351844492,0.7917461395263672
ruler_x,ruler_x,,8,256,0.8734901021049898,0.8691752134869614,0.43667736667018475,0.49450424493617395,0.057776451110839844,0.45284731465989453,0.003110655918350064,0.003906898733103971,0.0010490964782117604,1.553887128829956
sinusoidal_x,sinusoidal_x,,5,32,0.8360815289155223,0.8415789035482837,0.5292583197587235,0.5401341954574513,0.05004262924194336,0.13192743064350457,-0.14512199573758763,0.030674419883294606,0.007270140094010391,0.20193004608154297
sinusoidal_x,sinusoidal_x,,6,64,0.83195794794656,0.8408170198273376,0.5252457270531075,0.5413194428141982,0.05232381820678711,0.19002466356354722,-0.14322192811047238,0.015318785530161517,0.0043253056456228345,0.3997161388397217
sinusoidal_x,sinusoidal_x,,7,128,0.8292045576856616,0.8406320430779519,0.5211155400345963,0.5416066544556011,0.053812503814697266,0.27292756105222954,-0.14275502797246203,0.007657076051900541,0.0023433018417223627,0.8157918453216553
sinusoidal_x,sinusoidal_x,,8,256,0.8275793307622624,0.8405878833329778,0.5183382448496313,0.5416751890143989,0.05465888977050781,0.38977037873986176,-0.14262269896142496,0.0038282555167270965,0.0012046592411352284,1.5986320972442627
chebyshev_x,chebyshev_x,,5,32,0.8848830763697741,0.8938167236080422,0.4657427511566462,0.4484324526599131,0.05749797821044922,0.16759016066498666,0.8680416517995989,0.04147502260050969,0.004202208893143183,0.20547199249267578
chebyshev_x,chebyshev_x,,6,64,0.8840411973853409,0.8940460849335929,0.467360945783273,0.4479749970867962,0.05811595916748047,0.23780406916181118,0.8673759981200656,0.020763002008528684,0.0021081358788142407,0.4063727855682373
chebyshev_x,chebyshev_x,,7,128,0.8834653175124134,0.8940980558992496,0.46845857164688753,0.44787126100831975,0.05833864212036133,0.3365964371181895,0.8673327525819687,0.010384696798994867,0.0010546842865246236,0.8442790508270264
chebyshev_x,chebyshev_x,,8,256,0.8831759239249093,0.894112581679886,0.4690094015120581,0.44784226160750906,0.058428287506103516,0.4761250532004949,0.8673143594649241,0.005192748170346036,0.0005275093287602922,1.7094640731811523
