case_id,kind,scramble_mode,source_kind,display_name,color,category,group,density,symmetry,arithmetic,curve_aware
uniform_x,uniform_x,,,uniform,#1f77b4,elementary_geometric,A,flat,symmetric,HiR,False
geometric_x,geometric_x,,,geometric,#9467bd,elementary_geometric,A,log_uniform,log_symmetric,HiR,False
harmonic_x,harmonic_x,,,harmonic,#2ca02c,elementary_geometric,A,left_dense,asymmetric,HiR,False
mirror_harmonic_x,mirror_harmonic_x,,,mirror-harmonic,#d62728,elementary_geometric,A,right_dense,asymmetric,HiR,False
ruler_x,ruler_x,,,ruler,#e67e22,fractal,C,fractal_scattered,asymmetric,QQ,False
sinusoidal_x,sinusoidal_x,,,sinusoidal,#17becf,approximation_parametric,E,fractal_scattered,asymmetric,HiR,False
chebyshev_x,chebyshev_x,,,chebyshev,#8c564b,approximation_parametric,E,both_endpoints,symmetric,HiR,False
thuemorse_x,thuemorse_x,,,thue-morse,#e377c2,fractal,C,fractal_scattered,asymmetric,QQ,False
bitrev_geometric_x,bitrev_geometric_x,,,bitrev-geometric,#7f7f7f,fractal,C,fractal_scattered,asymmetric,HiR,False
stern_brocot_x,stern_brocot_x,,,stern-brocot,#bcbd22,number_theory,B,rational_dense,asymmetric,QQ,False
reverse_geometric_x,reverse_geometric_x,,,reverse-geometric,#ff7f0e,elementary_geometric,A,right_dense,asymmetric,HiR,False
random_x,random_x,,,random,#aec7e8,null_model,G,quasi_uniform,asymmetric,HiR,False
dyadic_x,dyadic_x,,,dyadic,#98df8a,null_model,G,quantized_log_uniform,asymmetric,HiR,False
powerlaw_x,powerlaw_x,,,power-law,#ff9896,approximation_parametric,E,left_dense,asymmetric,HiR,False
golden_x,golden_x,,,golden,#c5b0d5,symbolic_dynamics,D,quasi_uniform,asymmetric,HiR,False
cantor_x,cantor_x,,,cantor,#c49c94,fractal,C,fractal_scattered,asymmetric,HiR,False
farey_rank_x,farey_rank_x,,,farey-rank,#377eb8,number_theory,B,rational_dense,asymmetric,QQ,False
radical_inverse_x,radical_inverse_x,,,radical-inverse,#4daf4a,number_theory,B,quasi_uniform,asymmetric,HiR,False
sturmian_x,sturmian_x,,,sturmian,#984ea3,symbolic_dynamics,D,quasi_uniform,asymmetric,QQ,False
beta_x,beta_x,,,beta,#ff7f00,approximation_parametric,E,right_dense,asymmetric,HiR,False
arc_length_x,arc_length_x,,,arc-length,#a65628,curve_aware,F,left_dense,asymmetric,HiR,True
minimax_chord_x,minimax_chord_x,,,minimax-chord,#f781bf,curve_aware,F,left_dense,asymmetric,HiR,True
half_geometric_x,half_geometric_x,,,half-geometric,#636363,tiling_adversary,H,piecewise_log_uniform,asymmetric,HiR,False
eps_density_x,eps_density_x,,,eps-density,#252525,tiling_adversary,H,interior_dense,asymmetric,HiR,True
midpoint_dense_x,midpoint_dense_x,,,midpoint-dense,#969696,tiling_adversary,H,center_dense,symmetric,HiR,False
scramble_x__peak_swap,scramble_x,peak_swap,geometric_x,peak-swap,#d4a017,tiling_adversary,H,scrambled,asymmetric,HiR,False
scramble_x__peak_avoid,scramble_x,peak_avoid,geometric_x,peak-avoid,#20b2aa,tiling_adversary,H,scrambled,asymmetric,HiR,False
