source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,worst_cell_x_mid,worst_cell_plog_mid,n_cells,n_params,param_to_cell_ratio,gap_over_free,gap_over_opt,time
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,0.04801885319811061,0.03855030560180408,0.019266709931147465,0.009468547596306533,0.019283595670656614,0,"(0, 0, 0)",1.0,1.125,1.06250000000000,0.0874628412503394,8,3,0.375,1.0008764204978169,0.500219009152399,3.2757508754730225
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,0.04801885319811061,0.038007769071102336,0.014571397870416124,0.010011084127008275,0.02343637120068621,0,"(0, 0, 0)",1.0,1.0905077326652577,1.04525386633263,0.06385337983609873,8,3,0.375,1.6083818044848244,0.6166205429432875,3.2879879474639893
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,0.04801885319811061,0.035964847810087595,0.012535782363257702,0.012054005388023016,0.02342906544682989,7,"(1, 1, 1)",1.7777777777777777,2.0,1.88888888888889,0.9175378398080271,8,3,0.375,1.868975127990442,0.6514434753219891,3.354684829711914
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,3,False,0.04801885319811061,0.03836943742117616,0.030246046571444075,0.009649415776934449,0.008123390849732088,0,"(0, 0, 0)",1.0,1.2222222222222223,1.11111111111111,0.15200309344505006,8,3,0.375,0.2685769470910473,0.21171514089619603,3.2896671295166016
wall_surface_2026-03-18,uniform_x,1/2,1,3,True,0.04801885319811061,0.03290396609425293,0.019266709931147465,0.01511488710385768,0.013637256163105467,7,"(1, 1, 1)",1.875,2.0,1.93750000000000,0.9541963103868752,8,7,0.875,0.7078144743882213,0.4144563036577945,3.3883328437805176
wall_surface_2026-03-18,geometric_x,1/2,1,3,True,0.04801885319811061,0.031153241103705116,0.014571397870416124,0.016865612094405496,0.01658184323328899,0,"(0, 0, 0)",1.0,1.0905077326652577,1.04525386633263,0.06385337983609873,8,7,0.875,1.1379720312870334,0.5322670337282139,3.4496588706970215
wall_surface_2026-03-18,harmonic_x,1/2,1,3,True,0.04801885319811061,0.027693141878382274,0.012535782363257702,0.020325711319728337,0.015157359515124572,4,"(1, 0, 0)",1.3333333333333333,1.4545454545454546,1.39393939393939,0.47916783669855956,8,7,0.875,1.209127525981202,0.5473326060903425,3.4621798992156982
wall_surface_2026-03-18,mirror_harmonic_x,1/2,1,3,True,0.04801885319811061,0.03673108401871054,0.030246046571444075,0.011287769179400074,0.0064850374472664625,7,"(1, 1, 1)",1.9333333333333333,2.0,1.96666666666667,0.9757524537533229,8,7,0.875,0.21440942478046443,0.1765544802315944,3.4030678272247314
wall_surface_2026-03-18,uniform_x,1/2,1,4,False,0.04801885319811061,0.041080793032408074,0.010422740025294662,0.006938060165702538,0.03065805300711341,15,"(1, 1, 1, 1)",1.9375,2.0,1.96875000000000,0.9772799234999164,16,3,0.1875,2.9414580938131647,0.7462867862099861,7.158099174499512
wall_surface_2026-03-18,geometric_x,1/2,1,4,False,0.04801885319811061,0.03903223742957822,0.007553957776491171,0.008986615768532394,0.03147827965308705,15,"(1, 1, 1, 1)",1.9152065613971474,2.0,1.95760328069857,0.9690884243086474,16,3,0.1875,4.167124120160064,0.806468748041411,7.398355960845947
