partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
geometric_x,3,6,1/2,False,0,"(0, 0, 0, 0, 0, 0)",1.0,1.0108892860517005,1.0054446430258501,0.00544464302585023,-0.05224609375,-0.0026836395263671875,-0.04956245422363281,0.0381885919128367,0.0019372364815933578,0.036251355431243346,1,0.0038315730602440728,-0.032419782370999274
geometric_x,3,6,1/2,False,1,"(0, 0, 0, 0, 0, 1)",1.0108892860517005,1.0218971486541166,1.0163932173529087,0.01639321735290857,-0.06201171875,-0.007981300354003906,-0.054030418395996094,0.04168650839126642,0.0019049492123909997,0.03978155917887542,2,0.0037662879641767676,-0.036015271214698656
geometric_x,3,6,1/2,False,2,"(0, 0, 0, 0, 1, 0)",1.0218971486541166,1.0330248790212284,1.0274610138376725,0.02746101383767255,-0.06201171875,-0.01316070556640625,-0.04885101318359375,0.03798870112680691,0.0018724763119775012,0.03611622481482941,3,0.0037001985458093253,-0.032416026269020085
geometric_x,3,6,1/2,False,3,"(0, 0, 0, 0, 1, 1)",1.0330248790212284,1.0442737824274138,1.0386493307243212,0.03864933072432113,-0.07177734375,-0.018222808837890625,-0.053554534912109375,0.04169864852105633,0.0018388660219682436,0.03985978249908809,4,0.003633089666953901,-0.036226692832134186
geometric_x,3,6,1/2,False,4,"(0, 0, 0, 1, 0, 0)",1.0442737824274138,1.0556451783605572,1.0499594803939856,0.0499594803939855,-0.06689453125,-0.02316570281982422,-0.04372882843017578,0.03444594403171097,0.0018052571030665212,0.032640686928644455,5,0.003564754071503058,-0.0290759328571414
geometric_x,3,6,1/2,False,5,"(0, 0, 0, 1, 0, 1)",1.0556451783605572,1.0671404006768237,1.0613927895186903,0.061392789518690385,-0.06689453125,-0.027990341186523438,-0.03890419006347656,0.030932287764499508,0.0017706774044251566,0.02916161036007435,6,0.0034957034440167246,-0.025665906916057624
geometric_x,3,6,1/2,False,6,"(0, 0, 0, 1, 1, 0)",1.0671404006768237,1.0787607977571199,1.0729505992169717,0.07295059921697171,-0.07177734375,-0.032695770263671875,-0.039081573486328125,0.031191766968804817,0.001735623414801804,0.029456143554003014,7,0.003424977740560139,-0.026031165813442874
geometric_x,3,6,1/2,False,7,"(0, 0, 0, 1, 1, 1)",1.0787607977571199,1.0905077326652577,1.0846342652111887,0.08463426521118873,-0.08154296875,-0.037281036376953125,-0.044261932373046875,0.035288596154298295,0.0017003172722455434,0.03358827888205275,8,0.0033533223151877957,-0.030234956566864955
geometric_x,3,6,1/2,False,8,"(0, 0, 1, 0, 0, 0)",1.0905077326652577,1.102382583307841,1.0964451579865493,0.0964451579865493,-0.06689453125,-0.041747093200683594,-0.025147438049316406,0.02075463618523379,0.0016639563558027747,0.019090679829431016,9,0.0032810934093504525,-0.015809586420080565
geometric_x,3,6,1/2,False,9,"(0, 0, 1, 0, 0, 1)",1.102382583307841,1.1143867425958924,1.1083846629518668,0.10838466295186674,-0.07666015625,-0.046092987060546875,-0.030567169189453125,0.024992584913455063,0.0016274707727155769,0.023365114140739485,10,0.003206912011304323,-0.020158202129435164
