source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
exponent_robustness_2026-03-20,uniform_x,1/3,3,4,False,0.03572164364988057,0.02153365583376607,0.006987004704880389,0.014187987816114501,0.01454665112888568,15,"(1, 1, 1, 1)",1.9375,2.0,8.116326808929443
exponent_robustness_2026-03-20,geometric_x,1/3,3,4,False,0.03572164364988057,0.021647041834857324,0.0050555063473468,0.014074601815023246,0.016591535487510523,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,8.628283023834229
exponent_robustness_2026-03-20,harmonic_x,1/3,3,4,False,0.03572164364988057,0.024375880226495433,0.0037354795124031406,0.011345763423385138,0.020640400714092292,1,"(0, 0, 0, 1)",1.032258064516129,1.0666666666666667,8.226100206375122
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,3,4,False,0.03572164364988057,0.021308451726710084,0.01233569317105703,0.014413191923170487,0.008972758555653054,15,"(1, 1, 1, 1)",1.967741935483871,2.0,8.050157070159912
exponent_robustness_2026-03-20,uniform_x,1/3,3,4,True,0.03572164364988057,0.014568623549810185,0.006987004704880389,0.021153020100070384,0.0075816188449297954,15,"(1, 1, 1, 1)",1.9375,2.0,8.277584075927734
exponent_robustness_2026-03-20,geometric_x,1/3,3,4,True,0.03572164364988057,0.012380688075674513,0.0050555063473468,0.023340955574206058,0.007325181728327712,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,7.943341970443726
exponent_robustness_2026-03-20,harmonic_x,1/3,3,4,True,0.03572164364988057,0.010428101441132083,0.0037354795124031406,0.025293542208748486,0.006692621928728942,0,"(0, 0, 0, 0)",1.0,1.032258064516129,8.202139139175415
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,3,4,True,0.03572164364988057,0.01807601268266008,0.01233569317105703,0.01764563096722049,0.0057403195116030505,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,8.252681970596313
exponent_robustness_2026-03-20,uniform_x,1/3,3,5,False,0.03572164364988057,0.025367514072319176,0.0036230070245339713,0.010354129577561395,0.021744507047785203,31,"(1, 1, 1, 1, 1)",1.96875,2.0,16.743337154388428
exponent_robustness_2026-03-20,geometric_x,1/3,3,5,False,0.03572164364988057,0.02832803036354019,0.0025662778539551506,0.007393613286340379,0.02576175250958504,2,"(0, 0, 0, 1, 0)",1.0442737824274138,1.0671404006768237,17.285664081573486
exponent_robustness_2026-03-20,harmonic_x,1/3,3,5,False,0.03572164364988057,0.029725692560226787,0.0018736017105628782,0.005995951089653784,0.027852090849663908,24,"(1, 1, 0, 0, 0)",1.6,1.641025641025641,16.858746767044067
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,3,5,False,0.03572164364988057,0.020932128519489973,0.0067900663745339325,0.014789515130390597,0.01414206214495604,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,15.638556957244873
exponent_robustness_2026-03-20,uniform_x,1/3,3,5,True,0.03572164364988057,0.014530069182003537,0.0036230070245339713,0.021191574467877033,0.010907062157469566,2,"(0, 0, 0, 1, 0)",1.0625,1.09375,17.361807107925415
exponent_robustness_2026-03-20,geometric_x,1/3,3,5,True,0.03572164364988057,0.012380688075674513,0.0025662778539551506,0.023340955574206058,0.009814410221719362,0,"(0, 0, 0, 0, 0)",1.0,1.0218971486541166,16.423115968704224
exponent_robustness_2026-03-20,harmonic_x,1/3,3,5,True,0.03572164364988057,0.010547758806821569,0.0018736017105628782,0.025173884843059,0.00867415709625869,26,"(1, 1, 0, 1, 0)",1.6842105263157894,1.7297297297297298,16.388427019119263
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,3,5,True,0.03572164364988057,0.01807601268266008,0.0067900663745339325,0.01764563096722049,0.011285946308126148,0,"(0, 0, 0, 0, 0)",1.0,1.0606060606060606,16.880486965179443
exponent_robustness_2026-03-20,uniform_x,1/3,3,6,False,0.03572164364988057,0.0302539571811808,0.0018448330463037167,0.005467686468699769,0.028409124134877083,48,"(1, 1, 0, 0, 0, 0)",1.75,1.765625,32.33394193649292
exponent_robustness_2026-03-20,geometric_x,1/3,3,6,False,0.03572164364988057,0.032144567243861714,0.0012927710957101074,0.003577076406018856,0.030851796148151606,44,"(1, 0, 1, 1, 0, 0)",1.6104903319492543,1.6280274218573478,34.02485680580139
exponent_robustness_2026-03-20,harmonic_x,1/3,3,6,False,0.03572164364988057,0.032734686336114385,0.0009380399089325334,0.002986957313766185,0.03179664642718185,47,"(1, 0, 1, 1, 1, 1)",1.5802469135802468,1.6,34.00268602371216
exponent_robustness_2026-03-20,mirror_harmonic_x,1/3,3,6,False,0.03572164364988057,0.025367496026489928,0.0035692679827310407,0.010354147623390642,0.021798228043758888,24,"(0, 1, 1, 0, 0, 0)",1.5454545454545454,1.5617977528089888,31.26524806022644
exponent_robustness_2026-03-20,uniform_x,1/3,3,6,True,0.03572164364988057,0.014672662368221923,0.0018448330463037167,0.02104898128165865,0.012827829321918206,11,"(0, 0, 1, 0, 1, 1)",1.171875,1.1875,33.673147201538086
exponent_robustness_2026-03-20,geometric_x,1/3,3,6,True,0.03572164364988057,0.012380688075674513,0.0012927710957101074,0.023340955574206058,0.011087916979964405,0,"(0, 0, 0, 0, 0, 0)",1.0,1.0108892860517005,31.321164846420288
